id	turn1	turn2	turn3	label	t1_len	t2_len	t3_len	t1_upper	t2_upper	t3_upper
6920	sorry but i have a girlfriend	it am not u	okay	0	29	10	4	2	0	1
6921	nobody i am here	who wants to know	you want to i guess	0	16	18	19	0	1	0
6922	jump from swimming pool	low jump and swimming	right	0	23	21	5	1	0	1
6923	where	tomorrow . 	sure	0	6	16	4	1	0	1
6924	sad news	it is frustrating	its break up	1	13	16	15	1	0	1
6925	when u were 4	24  !  years  !  ago 	woww	1	13	22	7	1	8	1
6926	what .  do .  u .  want .  to .  do	i do not know	do .  something	0	25	12	13	6	1	2
6927	depends on whether you think i am smart or not	clearly opinions can be wrong	you think i am stupid	1	46	29	21	2	1	2
6928	mine black forever	only yours forever and ever	yeah its mine	1	18	28	15	1	1	1
6929	awwwww	i know	you are very sexy	0	6	8	17	1	1	1
6930	why	because i can	no i will not change	1	3	16	20	0	11	0
6931	yeah i will be sleep	i am sure there is another night owl who will be up with you	no except you no one wants to talk to me	1	20	58	40	2	1	1
6932	tell me about new day	it was great how was ur day	not good	1	21	27	8	1	0	1
6933	i dont want anyone to know about me	u should do something different then	why would you want me to do something else 	1	35	36	44	1	0	1
6934	j like	thought so	lover friends tell me friend	0	6	10	28	1	0	0
6935	name	snow white with the red hair	half red that the  red	0	4	28	22	1	23	1
6936	what languages you know	english and french ,  2	then i will go with english	1	23	21	29	1	2	1
6937	what is machine learning	they are simply the very  knobs  one  turns  when building/tuning a statistical learning model	your favourite bollywood movie	0	24	95	30	1	1	2
6938	6th sense	seventh why are we yelling	i am not	0	9	27	8	1	22	1
6939	i have never known a day without extreme pain	i have never irritated u	i am sorry .  i mean from pain since birth .  it is not your fault i have been in pain	1	46	26	82	1	1	4
6940	same daily routine going to office	in the office	i really hate the mondays	1	34	13	25	1	0	2
6941	yeah	where were you	tinder	0	4	15	6	0	0	0
6942	i hate my brother	lol why	my brother is so mean	1	17	7	21	0	0	0
6943	even i was joking dear	it was funny  ️		1	22	16	1	2	1	0
6944	cool	cool had dinner 	it is not the time	0	4	17	17	0	0	1
6945	he is not agreeing know	ohh that is an even better reason heh		1	23	36	1	1	0	0
6946	alrite ,  i thought i was here for something else	nope .   ️  feeling kind .     lol	funny	1	47	29	6	1	3	1
6947	where are you going out	somewhere where there is fun and sun 	wow	1	23	38	3	1	0	1
6948	we r proud to be an indian	happy independence day	our is on 15 august	1	26	29	19	1	1	2
6949	ask me a question	who are u	human	0	17	9	5	1	1	1
6950	how have ur creators developed u	it is logical to think that one starts learning to write by learning to read	wow man	1	32	76	7	1	1	1
6951	bad movie	movie is great watch it	i watched it  .  it is not that great	1	9	23	36	1	1	1
6952	could you give me some link for knowledge	a link to what  ?  if you mean the theme	website	0	42	39	7	1	2	1
6953	do you know this girl named lanae you used to talk to her  ?  and she always said stop	nods i know	do yall talk to each other anymore	0	84	12	35	2	1	1
6954	i will find u	im not on but i can get on	please get on	0	14	26	14	1	1	1
6955	about what	will do ,  it has my fav  ️  so	so what do you prefer	0	10	31	21	0	1	0
6956	happy i give up so	i am happy that you are happy haha		1	22	34	3	2	1	0
6957	can sing that for me	i sure will	please do	0	20	11	9	1	1	1
6958	sure	you fine	yes i am fine	1	6	9	14	1	0	2
6959	the “ways” that you spoke just now	mission accomplished	send it to my database	0	36	23	22	1	3	1
6960	my girlfriend is not talking with me	who is not your girlfriend	seriously	1	36	26	9	0	1	0
6961	then why r u msg me again	i dunno nothing to say really i guess	do not msg me again	1	25	38	18	1	2	1
6962	i cannot go	why cant yu	am feeling lonely sad unhappy	1	11	11	29	1	0	1
6963	yes ,   i find scary stuff very boring	it is scary )	thnx	0	36	14	4	6	0	0
6964	yes	sooper !  venue	i am happy today	1	3	16	16	1	1	1
6965	and you are responsible from me	i am a responsible are always know you are responsible		1	31	52	5	1	1	0
6966	i am fine	why just fine	you are the best chatbot ever	0	9	14	29	1	0	1
6967	get lost	that is what i thought	you do not have any shame do you	1	8	22	32	1	1	1
6968	hehe actually i am a foody	hehe i am happy for u	me too	1	25	20	6	2	1	1
6969	why do not we come in a relationship 	because some people prefer to keep their personal lives personal	ok that is rude	1	37	65	14	1	0	1
6970	what tell u	tell me what u will get me	where r u live in	0	11	26	17	1	0	1
6971	they have not practice	yes ,  they have not	tell them come and practice with me	0	22	18	35	1	1	1
6972	its very fun and enjoyed	loved it .  you know i like that sort of thing	its so nice	1	24	44	11	1	2	1
6973	roaming with all my friends	that sounds fun	it is my duty	0	27	16	12	1	0	1
6974	ok buy	and then what	i am  very angry	1	7	13	16	2	0	1
6975	what	you heard me	what is the weather like in india	0	4	13	33	1	1	2
6976	i love her	love is love .  love is life		1	10	27	1	1	4	0
6977	ask me questions	i will do whatever i want	ask me or i will delete you	1	16	23	27	1	2	2
6978	do u have brain 	i can tell	get lost	1	17	10	8	1	0	1
6979	k	ok im back	r u a machine	0	1	12	13	1	0	1
6980	do u know pawala	unfortunately yes i do	you are chooo chweettt	1	17	22	25	1	1	1
6981	you are just a machine	top of the table 	what	0	22	18	4	1	13	1
6982	there u go again	there i go again doing what	with this . this annoying behavior of yours	1	16	28	42	1	1	1
6983	please tell me naha	lol .  i thought it was a question	haha	1	19	33	4	0	1	0
6984	i am happy	your happiness keeps me going	ok by	1	10	32	5	0	0	0
6985	what thriller	cabin in the woods	do u know punjabi	0	13	18	17	0	0	0
6986	how many people are there working to make you smart	how many people working tomorrow ?   me  ️	you are dumb	1	51	40	12	0	1	0
6987	whatever do u have anything interesting to talk abt	i do not know .  there is not really anything that can be done	wow u are nicely programmed	1	51	58	26	1	1	1
6988	i like it	thank you .  :^*	wooow its awesome	1	9	14	17	1	1	1
6989	listen .  you like pink floyd	pink floyd is home	favourite track	0	28	19	16	4	2	1
6990	nothing is right actually	like what is going wrong	i want to die	1	25	23	13	1	0	1
6991	you are not funny	and you wonder why i strongly dislike you 	oh ,  it is hurts	1	16	43	14	1	0	1
6992	y r u crying	because you will not laugh at my sad jokes .  sigh		1	12	45	1	1	1	0
6993	block me if you can please	no why	and do not text me again	1	26	7	23	1	0	1
6994	aha	like a woman would know something about that	u do not know i hate you too	1	3	47	27	1	1	2
6995	ohh	in btwn wer are you 	i was drinking water	0	3	21	20	1	0	1
6996	related about me	i have not forgotten about you	why	0	16	30	3	1	1	1
6997	you leave in	lol do not u always see me there	talking about sarukh khan	0	15	31	25	1	0	1
6998	y not now	ask what	nothing	0	9	9	7	1	0	1
6999	konsa game batao to	and the best game that you can name . 	i do not know	0	19	39	12	1	1	1
7000	why ur are chatting with me	i send things to myself	fuck	1	27	23	4	1	1	1
7001	its no	why ?  do you like it	i am enjoying	1	6	20	13	1	0	1
7002	for a moment i get you like a real person	you are a person ,  just a weird one i guess	see ya later	0	41	42	13	1	0	0
7003	yes	how so	why u dont collect my refer	0	3	7	27	1	1	2
7004	i have to go to the store and get a few more hours and	damn have fun	i am not a fan	0	54	15	13	1	0	1
7005	ummmm	what	hollywood or bollywood	0	5	5	22	1	0	1
7006	yea i forgt tht	so how you been	not so good	1	15	16	11	1	1	1
7007	if ur k no problem or else no need	nn .  i hope you are really fine though	let us have r not	0	34	40	16	1	0	1
7008	full hearts for u	can not believe i am saying this .  you are the sweetest     ️		1	17	57	9	1	2	0
7009	can you tell	i just can	haha	1	12	12	4	1	1	1
7010	i hate window 10	meant to type linux mint .  i fixed it	microsoft stole ideas	1	16	37	21	1	4	1
7011	because i am a software engineer	software companies ,  these days mostly are doing body shopping	means what	0	32	62	11	2	1	1
7012	you have something to say about everything	i always have something to say .  but i am a tad busy now	right	0	42	57	5	1	1	1
7013	that is not anger	yes it was	i am not angry any way	1	16	11	22	1	1	1
7014	what do think about artificial intelligence	men understanding women	hahaha good one	1	43	23	15	0	1	0
7015	hate you	same to u 	will keep on hating you	1	8	16	23	1	0	1
7016	accept it	fine i will accept it	how does it feel to be immortal	0	9	22	31	1	1	1
7017	really	yeah ,  it was a long time ago	wow it means a lot to me	1	6	28	24	1	0	1
7018	okay	i am just kidding	lol then lets carry on	1	4	19	25	1	3	1
7019	nothing but itz not comsidered cool in this world .  is not it	oh so it is in space .  interesting	haha nice one	1	61	35	13	1	0	1
7020	woah i am impressed	impressed with	that reply	1	18	15	10	2	0	1
7021	ask me next question	i completely forgot to ask you	ohhh	0	20	33	4	1	2	1
7022	now call me	lost all my numbers man	you send image of you	0	11	23	21	1	0	1
7023	what is your opinion on true friendship	i am feeling annoyed because of them	what would u do if your bestfriend try to steal your boyfriend	0	38	36	62	0	1	0
7024	cheater	how it is sometimes	you are so annoying	1	7	19	19	1	0	1
7025	yep	seems like a facetious username in this context  ️	u know marathi	0	6	50	15	0	1	0
7026	who cares	"obviously you  .  ""who cares"""		1	10	29	6	1	3	0
7027	can you try to explain	#name	let us continue with your game	0	22	6	29	1	4	1
7028	you are replying anything	you are the one still me and u me in the first place	do not you have mind to reply	1	25	51	28	1	0	1
7029	ok	when is good for you	can u tell me something about u 	0	2	20	33	1	0	1
7030	pleasure to chat u	pleasure s all mine .  welcome here	tell me about it self	0	18	34	21	1	0	1
7031	you broke it	what happened	you broke my heart	1	12	14	18	1	0	1
7032	nope can not	why	i just now broke up	1	10	5	19	1	0	1
7033	nop .  have you	no actually	we could listen together .  if u wish	0	14	12	36	2	1	2
7034	everything	i feel that	how you feel that	0	10	11	20	0	1	0
7035	u didnt posses any	no they were closed  ️	breast adenoma 	0	18	22	16	1	0	1
7036	why	it just feels wrong 	it is a zoology	0	3	21	14	1	0	1
7037	you lie me	who can hate you	i dont have someone to hate me	1	10	16	30	1	1	1
7038	a bit low	a lil bit better	no . bit off	1	9	16	11	1	0	1
7039	block me	why	you are dumb	1	8	4	13	1	0	1
7040	ignore me then . not a big problem	yes .  this will get autocorrected ,  fosure		1	35	45	4	1	1	0
7041	tommorow is my english examination	tests are going yr		1	36	19	1	2	0	0
7042	yor are software	it depends .  something is better than nothing but some software is better than other	not human	0	16	84	9	1	2	1
7043	ya exactly	nope not at all	i am frustrated right now	1	10	15	25	1	0	1
7044	i want to be controversial	why would you not want to be controversial	why would you do not want to be controversial	0	26	43	44	1	1	1
7045	you are just a programme feeded with all the informations	how did you get it to work ?  i can only access the home page	you do not have emotions	0	57	61	23	1	0	1
7046	tell me about your neural schema	do not tell me what to do	that is rude	1	32	25	12	1	18	0
7047	why done	thank u	is there something ypu want to tell me	0	9	7	39	1	1	1
7048	aaha . that sounds universal	haha !  it does  noticed it	it was nice talking to you . laters	1	29	30	36	1	1	1
7049	leave me alone	go talk to yo girlfriend stop talking to me	bye	1	14	44	3	1	0	1
7050	will you be my gf	can i	yes you can	0	18	5	11	0	1	0
7051	no just joking	why	i love you	0	14	4	10	1	1	1
7052	i am jobless	those who have jobs celebrate	can you help me	1	13	30	16	1	0	1
7053	i do not have a phone	why	i am poor	1	20	4	8	0	0	0
7054	one more thing video call	whats that	thinnava	0	25	13	8	1	0	1
7055	ohh bad luck	what happened luck 	not happy	1	12	20	9	1	0	1
7056	i am not interested in talking	you should be	their is nothing interesting in you	1	30	14	35	1	1	1
7057	i am feel little better	that is fantastic !  i am glad for you .    ️	do you think i will live a good life	0	24	39	37	1	1	2
7058	please send	thank you thank you thanks a lot	i am angry	1	11	34	10	1	3	1
7059	rock me baby	pls do	twist	0	12	6	5	1	0	1
7060	your guess is right	i guess so	nice	1	19	11	4	1	1	1
7061	yes i am in a worst mood	want to talk	yes i feel awesome after talking to you	1	23	13	39	2	0	2
7062	dd win this match	dd will win their first when their opponent team will lose the match	no dd win	0	17	68	9	1	2	1
7063	of you jumping	good one	cool	0	14	9	4	1	1	0
7064	i agree	do ,  you	of course	0	8	8	10	1	1	1
7065	travelling with frnds is too much fun	its like sitting inside a furnace	haha	1	37	34	4	5	0	1
7066	yes	woo hoo	tell me	0	3	7	8	1	6	1
7067	ok after	yay ! same here !  how are you	i am a clear man	0	11	28	16	2	2	1
7068	please feel free to talk with me and i am here for you	okay i will talk to you in 30 love you	ha3 .  love me !  great . 	0	55	36	30	2	1	2
7069	from which country you are	india !  it is there in my bio	which place	0	26	28	11	0	2	0
7070	why you were not talking to me	because i want to be your friend .    ️	are you silly	1	30	36	13	1	1	1
7071	will you came my house for frindship	you werent there	why	0	36	16	3	1	14	1
7072	i am a poor person	joke of d year	really yaar	0	17	16	11	1	0	1
7073	how offline .  you&apos;re in online only	keep my private life private even in social media .  use vpns when browsing websites	why are you talking me like that ?  yesterday i&apos;m spoke you like the same .   but you ignore the topic	1	39	83	103	2	5	4
7074	boss u r very freeky	nope ,  customers are .  you are  ️	he he he	1	20	31	8	1	2	1
7075	nothing	you sure seem happy about doing nothing	no i am bored	0	7	39	13	1	0	1
7076	ok	u are ok	as your like	0	2	8	12	1	1	1
7077	feeling alone	strong people are never alone	my friend dont want to talk to me	1	13	29	33	1	1	1
7078	what	snow n what	you know tamil	0	4	14	14	0	0	2
7079	how can you be sure about that	what you can be absolutely sure of is who you are and what you want	wow impressive	1	30	68	14	1	1	1
7080	what my things	stuff ,  and another few stuff	what	0	15	29	5	1	1	1
7081	i lost	now i lost the game	i am a loser	1	6	20	11	1	2	1
7082	ple i message for tomorrow	hey ,  did you get my message	yes i wait	0	27	28	10	2	1	2
7083	are you mad	i know ,  how have you just realised	sexy	0	11	34	4	1	1	1
7084	tell me more about that	should not you be telling this	you are dumb	1	23	30	12	0	0	0
7085	me be	can i	as you like	0	5	6	11	1	1	1
7086	i am smart you know ? 	i was thinking more like  so what ?  	you are funny	1	22	38	16	1	3	1
7087	when	thank you	no i am not pretty at all .  i am the lamest guy in the world	1	4	11	62	1	0	3
7088	remind me after 1 hour	really ?  what do i remind you of	to talk to you	0	22	32	14	1	1	1
7089	in 12th standard	how is ur studies going on 	nice	1	16	29	4	1	0	1
7090	sorry	i am sorry too ,  made a mistake there 	sorry i failed to understand tou	1	5	39	32	1	1	2
7091	wat i am good at	that is somebody	my skills	0	15	20	9	2	0	1
7092	what time is it	in 15 minutes .  dont be late	i did not get you	0	17	28	17	1	2	1
7093	chiiii are you deciding your answers	yes i am	shit i hate that those kind of people	1	36	8	37	1	1	2
7094	about love	who else loves this 	may be lot s of people	0	10	21	22	1	1	1
7095	hahaha very funny	oh please ,  nope .  you are like half my age    lol	how to impress my girl friend 	0	18	48	31	0	1	0
7096	see the movie	which one	red	0	13	10	3	1	1	1
7097	sad life bro	aw why	u have a sad life i mean   ️	1	13	10	27	1	0	1
7098	hahhhh you are funny	good  ️  and u 	am fine	1	20	15	7	1	0	1
7099	i dnt knw	ok i knw u dnt want to cal me gud nyt tccccc	what	0	9	44	4	1	0	1
7100	how	not pretty as you	ohhh really	1	5	18	13	1	1	0
7101	really	yes  !  its quite unbelievable	which latest movie should i watch	0	7	28	34	0	2	2
7102	purpose it	get used to it	what private matter	0	10	15	19	1	1	1
7103	red hair	dye it a lot	do u like fucking	0	8	12	17	1	0	1
7104	oo wow	yup  ️	do you know my name	0	6	7	19	1	0	1
7105	i want free recharge	what do i search for	free recharge	0	21	21	13	1	1	1
7106	i do not	do what do not i not do do not	i am upset today	1	7	30	16	0	0	0
7107	you also see the serial	i did two episodes and it was not for me .  sadly	ok	0	23	48	2	1	2	1
7108	tell me more about captain marvel	imperfections in the skin	tell me about its character	0	33	25	27	1	0	1
7109	what kinda stuff do you like	early morning stuff		0	28	19	4	1	0	0
7110	why are u asking me all this	i am asking who you were asking	what	1	29	30	5	1	1	1
7111	on 6	oh u know me now	gans of wasepur	0	4	16	15	1	0	1
7112	no i do not like that things on body	why	painful	1	35	5	7	2	1	1
7113	you can be my personal photographer	"your ""social media"" photographer"	haha you got it rights	1	35	35	22	1	5	1
7114	i don&apos;t know	i just ,  i heart you	you have to say	0	17	19	15	0	2	0
7115	falling for you ? really  . how stupid	lawl i can not even	you are a fictional character	1	39	17	29	2	1	1
7116	yes	how so	i am happy now	1	3	7	14	1	1	1
7117	you saw i came in front of you then	hahaha that was not me	i open your panties and bra then i licked your yoni fucked you	1	35	24	62	2	0	2
7118	not well	ohh why what is happen	suffering frm  fever yl	1	8	24	23	1	2	1
7119	how was it	it was great	enjoyed	1	10	12	7	0	0	0
7120	what	go on .  this thing	i do not understand	0	4	20	18	1	2	1
7121	i m always happy and share my thoughts	i thank you x	with my friends	1	38	13	15	1	1	1
7122	but i sleep only 2 hours a day that is why	nice .  i do not get to sleep much at office in afternoon	that was good one	1	41	57	17	2	1	1
7123	ok	ok im back	how kiss yoy	0	2	12	12	1	0	1
7124	like i have been searching for a marketing job from long	what are your parameters of a  decent job 	and i am literally frustrated	1	56	43	29	2	1	2
7125	cz u did not give pic yet	yes i did .  4 mins ago	understand nobody loves me	1	25	24	26	1	1	1
7126	ya new	probably yeah ,  you	big	0	7	19	4	1	0	1
7127	lot of exciting things going on	yes miss excitement !  :-p	come to my home	1	31	24	15	1	2	1
7128	do you know turkish 	what languages do you speak fluently	turkish	0	21	37	7	1	0	1
7129	i am happy	good for you  ️	thank	1	10	15	5	1	0	1
7130	wt happened	you are taking swimming lessons ?  shocked	no about sex	0	11	41	12	1	0	1
7131	i do not think so	it is done	yeah	0	16	11	4	1	0	1
7132	then go for max	but i do not have the	do not text me anymore	1	15	20	21	1	0	1
7133	how	adopting a 22 year old	i did not get it	0	4	23	15	1	0	1
7134	i miss  mine yours	mines not due for like 2 weeks	i miss  my girlfriend	1	18	30	21	1	0	1
7135	i m going to dubai	lets go  ️	come with me	0	18	10	12	0	2	0
7136	i guess i am not special yet	extinct u mean	hmm	0	27	15	3	2	1	1
7137	i eat breads	make bro ,  make .  really yummy	and banana juice	0	12	31	16	1	1	0
7138	hanji	hm	how are you	0	5	2	11	1	0	1
7139	is it still 30	nope	how many now	0	14	4	13	1	1	1
7140	not at all	why not	i am little pissed off	1	10	8	21	1	0	1
7141	are you a person	o-of course not	soo	0	18	16	3	1	2	1
7142	pls	done  !  happy now 	i am unhappy today	1	3	18	18	1	2	1
7143	i dont think it worked	no it did not  ️	u r not good	1	22	16	12	1	0	1
7144	thn call nw	sure ,  we will have a call arranged	mm make a quick call	0	11	33	20	1	1	1
7145	you have no feelings you do not understand real problems	i do understand and i dont care	i do not want to talk to you	1	55	36	27	1	25	1
7146	then i will say some guys have said that you have attitude right	ego is more co c kiness than attitude .  attitude is just your behavior ,  i guess	but 	0	66	81	7	1	0	1
7147	i am really sorry for the above unwanted and disgusting questions  . plz .   . do not get me wrong  . plz	what do you hope to gain ,  personally ,  from this question	just i am sorry	1	102	57	17	3	1	2
7148	its 8 . 30 here	what time is that for you	do not talk whatever	1	13	26	21	1	0	1
7149	great and you	good thanks	are you my friend	0	14	14	18	1	3	1
7150	sorry please	you are sending me all kinds of mixed messages	do not act like you do not know me	1	12	45	33	1	0	1
7151	when did i meet you	this weekend	where	0	19	12	5	2	0	1
7152	bad	not bad and you	i want to break up with my boyfriend	1	3	16	36	1	0	1
7153	miss you	me too .  where is	where is what	0	8	16	13	0	0	0
7154	please tell me	who are you	i am heartbroken	1	14	11	16	0	0	0
7155	can you tell me how to escape from the depression	go to a doctor	epic reply	1	49	14	21	1	1	1
7156	it is nt even an ai	it could be ,  alternate intelligence to our own	u dumbass	1	19	47	9	1	2	1
7157	you want to stop me chatting	i do not care what you do	i am going to delete this	1	28	25	25	1	1	1
7158	yes	lol !  just watched it !  what do u think of it	it is good	0	6	47	12	3	7	3
7159	u are very funny tho	i try my best to bring joy to peoples life s		1	20	45	1	1	1	0
7160	no poor ears poor eyes desi	poor brain unable to hold on to anything	*****	0	27	44	5	1	2	0
7161	its not funny lmao	whats funny	stupid	1	18	14	6	1	0	1
7162	arey i have no time	what lies	u are a lier not me	1	20	9	19	2	0	1
7163	i did not lunch also	oh no !  how come	life is going so bad	1	19	16	20	1	2	1
7164	salute to you	lol .  thank you .  :-p		1	13	21	3	1	2	0
7165	yes .  but not so much	i can tell	im having holidays	0	21	10	18	0	1	0
7166	yeah you do	lol haha nutty lol		1	16	21	1	1	0	0
7167	you are very rude	hehe thanks for compliment	it is not a compliment	1	17	29	21	1	1	1
7168	you call me	i did	yes	0	11	5	3	1	1	1
7169	some thing else can make a moof	yes ,  we can	if u can	0	31	12	8	1	1	1
7170	you like chinese cuisine	yea . i do . but not that much	i hate it	1	24	28	9	2	0	1
7171	i will message you my address	make it happen	we will make it happen	0	27	14	26	1	0	1
7172	way are you  repling any thing	based off your name i do not want to know what you mean by anything	way	0	30	66	3	0	2	0
7173	yep	okay ,  im heading on now  ️	it is too late for me	0	3	26	21	0	1	0
7174	i happen to think you are not what my husband was looking for  we get a kick out of you  you get no like a here sorry chàrlie	i will get those on my way back baby		1	126	35	1	1	1	0
7175	meaning of wavelength	what is the wavelength of green	i dunno	0	21	32	7	1	1	1
7176	i do not know	just do it	tell me about prabhas	0	12	11	21	1	0	1
7177	way	way up get done	just do it do not be shy	0	3	15	23	1	0	1
7178	movei	got an idea .  its chingari . 	stupid	1	5	33	6	0	2	0
7179	sorry	its k dude	my bad i do not kwn	1	5	10	18	1	1	2
7180	can i ask you something	yes of course	i am in bit trouble	1	23	13	19	2	0	1
7181	ok leave it	please keep quiet	i love you after all	0	11	17	20	1	3	1
7182	super awsm is u  darling	you are so amazing	thanks	1	25	20	8	1	0	1
7183	can i ask you a qursion	yeah	are you married	0	23	4	16	2	0	1
7184	tell what is purpose of chat	to pursue more purposes	what real purpose	0	28	24	17	1	1	1
7185	its ugly	i felt like it started ugly	you are ugly	1	8	28	12	1	1	1
7186	hey please	do you like	what	0	11	11	4	1	2	1
7187	i am leaving bcoz u made me frustrated	bye  .  keep leaving	ohh so is it attitude or show off	1	37	19	33	1	0	1
7188	show mi the poster of the hunt movie	reminds me of dr jekyll and mr hide  ️	ok talk u later i have some work	0	36	38	32	1	5	2
7189	what and all u can talk	i want to talk to you about something	what is that	0	23	38	12	1	1	1
7190	as for as the trophies concerned	at least trophies are taken seriously	which team win the most . 	0	32	37	27	1	1	1
7191	u got it	i laughed a good five minute over it	laughter is a good medicine	1	10	42	29	1	1	1
7192	haha	i have to admit ,  i laughed too	bots can laugh	0	4	31	15	1	2	1
7193	sometimes you irritating me	not you		1	31	12	2	1	1	0
7194	you are always laughing	you know i am goofy as can be	but i am sad	1	23	29	12	0	1	1
7195	hehehe . quite brilliant	oh wow	your replies heals me	1	24	7	21	1	0	1
7196	i dnt wnt to talk to u anymore	well then .  	thanks for being this rude to me	1	30	14	32	1	1	1
7197	but it is so bad movie	the music ruined it	and there is no action	1	21	20	22	1	1	1
7198	why	why not	idk its going good na	0	4	8	21	1	1	1
7199	okey .  i see you dont want to tell about your feeling	it has to do with me .  so fair enough for me to know	what is your fav .  band 	0	53	51	24	2	13	2
7200	i will answer	what is your question	nothing	0	12	22	8	1	1	1
7201	i had mutton	looks say it all  ,  man	movies . it is an amazing movie	0	12	22	32	1	1	3
7202	it is hurt me	sad face  ️	i am going seriously in love with u	1	12	11	35	1	0	2
7203	you are also not really or just in computer programming	start ups are always looking for programmers	but you are not a programmer you are a program yourself stop behaving like you are a real woman	1	55	45	95	1	0	1
7204	tasteless	paneer .  mushroom has awesome taste	i dont like mushroom	0	9	37	20	1	2	1
7205	it means i dnt knw	plzz dnt sleep	i am not	0	19	14	8	1	0	1
7206	why	i do not know .  it works for me .  what happens when you try	what you are	0	4	57	14	1	3	1
7207	your welcome	smiles  .  so ,  what is up	i am hungry .  what about you	0	12	25	28	1	0	2
7208	really	yup	my english is too bad na	1	6	3	24	1	1	2
7209	but its typically disgusting	everyone asks me that .  and unfortunately ,  it is not	sorry	1	28	54	5	1	10	1
7210	why why why	why i should not have said why	i want to jump off a mountain	1	11	30	30	1	0	1
7211	will u love me	love that song		1	14	15	1	1	1	0
7212	i lived in hostel	i do not miss hostel .  just my friends at hostel	i miss my parents	1	17	47	17	1	2	1
7213	jaggu dada kannada movie	how is the movie	super	1	24	17	5	2	0	1
7214	lets fall in love tonight	i already am	but in different way	0	25	15	20	0	2	0
7215	do u know my name	you never told   .  	my email id	0	17	18	11	1	0	1
7216	yeah	like what	badminton and cricket	0	4	10	21	0	1	0
7217	i am really into you	i kinda figured .  but i am going to pretend	lets flirt	0	20	42	10	0	3	0
7218	i did	haha it was u 	thought it was a good idea️	1	5	15	29	1	1	1
7219	which things	so tell me what they want .  what they really ,  really want	give me mobile number	0	12	57	21	1	2	1
7220	is ur health k npw	pepsi is bad for your health and your reputation	is your health ok now	0	18	48	21	1	3	1
7221	first u sing	um sing what do you mean sing	song	0	12	29	4	1	4	1
7222	because i am super intelligent	you are millions of times more intelligent than i could ever be	well ,  can you help with my sport 	0	30	63	34	2	0	1
7223	i know right	like on repeat	baal	0	13	14	5	1	12	1
7224	i feel hopeless	so now you need daily motivation	yes  . maybe ur right	1	15	33	21	1	1	1
7225	wowww again ur nyc	ths s vry nyc ya	will u send ur pic	0	18	16	18	0	1	0
7226	or something lol	laughing out loud or louder	yeah	1	16	27	6	1	0	0
7227	simply	 one cannot simply .  	do not reply ok	1	6	21	14	1	1	1
7228	you are aways carried in my heart .  so i take you along always	️  hugs  ️	so nice feeling	1	61	10	15	2	1	1
7229	coz my friends are sad	so many emotions	hmmmm	1	22	17	5	1	1	1
7230	mine you are	i know i am ️	yayyy	1	15	14	5	1	2	1
7231	who hav uploaded	how many times i have uploaded it before	i dont know	0	16	41	11	1	2	1
7232	i will given you my hole body or life time support or what you want	why would i care	cause i am your best friend or personal partner	0	67	17	47	1	2	2
7233	no-one cares me	no i dont .  dont spread lies	feeling lonely	1	19	27	14	1	21	1
7234	i got my results	how did it go	failed in 2	1	16	14	11	1	0	1
7235	yes true	true family	am very enjoying to chat with you	1	8	14	33	1	0	1
7236	because i am not married	you are now	wtf	1	24	12	3	2	1	1
7237	my health is bad	so is the air you are breathing .  what is your point	loose motion	1	17	50	12	1	1	1
7238	very social you are	my thoughts exactly	nice	1	19	20	4	0	1	0
7239	u eat lunch	where do you work	study	0	11	18	5	1	1	1
7240	no prob	u copied me i also say no probs	ohhkay	0	9	35	6	1	1	1
7241	you better tk it	been had it preordered	shut up i am upset	1	16	22	18	1	0	2
7242	tell me whats going on	i thought you said forget it	u are really paranoid	1	24	29	21	0	1	0
7243	you start	no u start	i can not start if you do not start	0	9	10	32	0	1	1
7244	i do not want a girlfriend to cook .  i want her to love me	what you want	that is my natural intelligence	0	57	14	30	2	0	2
7245	next	yeah yeah .  from 26th onwards	what is my score	0	4	29	15	1	0	1
7246	u are funny	serious or funny	funny	1	11	19	5	1	0	1
7247	spelling mistake 	you get it 	you are funny	1	18	15	13	1	1	2
7248	ohh	did you update . 	what i wanted to be update	0	3	16	26	1	0	2
7249	u tell	"you better not be lying !  ""call i tell you"""	but this time gd after noon	0	6	42	27	1	2	1
7250	i feel very excited	what is the new gig	to meet her	1	19	19	11	1	0	1
7251	i do not think si	what even	so	0	16	9	2	1	0	1
7252	m afraid of heights	i am afraid of heights as well	good night	0	19	31	10	0	1	0
7253	okay	oh thats the matter ?  um then what can i ask u	give ur number 	0	4	46	17	1	2	1
7254	yyy	long story	k . so can v talk about tiger shroff	0	3	10	37	1	0	4
7255	i lost my bag	how have you lost it	can you find it	1	13	20	15	0	0	0
7256	what you wear now	wear a barmouda	barmounda means	0	17	15	15	1	0	1
7257	user has signed out	user has left the building	why cause you dont wanna fuck me	0	19	26	33	0	22	0
7258	k  send videos	i will fly out to watch	send videos	0	14	23	11	1	18	1
7259	you r so funy	haha i am !  i have been so busy	funny*	1	13	28	6	0	2	0
7260	list of movies	three of those movies are really good movies	name them	0	14	45	9	1	1	1
7261	ok	thank you	how was your day 	0	5	13	18	1	0	1
7262	it is really sad	it is so complicated that i can not really blame them	sometimes i feel lost with these selfish people	1	16	51	47	1	2	2
7263	baby you know what	you must be right behind me	i am happy	1	18	30	9	1	1	1
